Key,File,Type,UsedInMainMenu,NoTranslate,english
rbtAllTractorsRandomHelperDesc,blocks,block,,,"Will randomly select a tracktor for a respawn event."

rbtAllExcavatorsRandomHelper,blocks,Block,,,"Excavator randomizer for respawn"
rbtAllExcavatorsRandomHelperDesc,blocks,block,,,"Will randomly select an excavator for a respawn event."

rbtAllBackhoesRandomHelper,blocks,Block,,,"Backhoe randomizer for respawn"
rbtAllBackhoesRandomHelperDesc,blocks,block,,,"Will randomly select a backhoe for a respawn event."

rbtAllForkLiftsRandomHelper,blocks,Block,,,"Sedan randomizer for respawn"
rbtAllForkLiftsRandomHelperDesc,blocks,block,,,"Will randomly select a forklift for a respawn event."

rbtAllCarRandomRespawner,blocks,Block,,,"Any vehicle respawner (custom list)"
rbtAllCarRandomRespawnerDesc,blocks,block,,,"Will respawn, from a custom list, a random, in style and condition, vehicle."

rbtVehicleRandomRespawner,blocks,Block,,,"ssny vehicle respawner (in-game list)"
rbtVehicleRandomRespawnerDesc,blocks,block,,,"Will respawn, from an in-game list, a random, in style and condition, vehicle."

rbtCar3WideRandomRespawner,blocks,Block,,,"Sedan '3-wide' respawner"
rbtCar3WideRandomRespawnerDesc,blocks,block,,,"Will respawn a random, 3-wide, sedan style vehicle after a set time."

rbtAllSedanRandomSpawner,blocks,Block,,,"Sedan respawner"
rbtAllSedanRandomSpawnerDesc,blocks,block,,,"Will respawn a random sedan style vehicle after a set time."

rbtMinivanRandomRespawner,blocks,Block,,,"Minivan respawner (in-game list)"
rbtMinivanRandomRespawnerDesc,blocks,block,,,"Will respawn, from an in-game list, a random minivan style vehicle after a set time."

rbtMinivan3WideRandomRespawner,blocks,Block,,,"Minivan '3-wide' respawner"
rbtMinivan3WideRandomRespawnerDesc,blocks,block,,,"Will respawn a random, 3-wide, minivan style vehicle after a set time."

rbtAllMinivanRandomRespawner,blocks,Block,,,"Minivan respawner (custom list)"
rbtAllMinivanRandomRespawnerDesc,blocks,block,,,"Will respawn, from a custom list, a random minivan style vehicle after a set time."

rbtAllSUVRandomRespawner,blocks,Block,,,"SUV respawner"
rbtAllSUVRandomRespawnerDesc,blocks,block,,,"Will respawn a random SUV style vehicle after a set time."

rbtAllPickupTruckRandomRespawner,blocks,Block,,,"Pickup truck respawner"
rbtAllPickupTruckRandomRespawnerDesc,blocks,block,,,"Will respawn a random pickup truck after a set time."

rbtSemiTruckRandomRespawner,blocks,Block,,,"Semi-truck respawner"
rbtSemiTruckRandomRespawnerDesc,blocks,block,,,"Will respawn a random semi-truck after a set time."

rbtSemiTruckModularFrontRandomRespawner,blocks,Block,,,"Modular, semi-truck respawner"
rbtSemiTruckModularFrontRandomRespawnerDesc,blocks,block,,,"Will respawn a random modular, semi-truck after a set time."

rbtPoliceCarRandomRespawner,blocks,Block,,,"Police car respawner"
rrbtPoliceCarRandomRespawnerDesc,blocks,block,,,"Will respawn a random police car after a set time."

rbtFireTruckRandomRespawner,blocks,Block,,,"Fire truck respawner"
rbtFireTruckRandomRespawnerDesc,blocks,block,,,"Will respawn a random fire truck after a set time."

rbtCrushedCar01RandomRespawner,blocks,Block,,,"Crushed car stack respawner (in-game list)"
rbtCrushedCar01RandomRespawnerDesc,blocks,block,,,"Will respawn, from an in-game list, a random crushed car stack after a set time."

rbtCrushedCar02RandomRespawner,blocks,Block,,,"Crushed car stack respawner (in-game list)"
rbtCrushedCar02RandomRespawnerDesc,blocks,block,,,"Will respawn, from an in-game list, a random crushed car stack after a set time."

rbtAllCrushedCarRandomRespawner,blocks,Block,,,"Crushed car stack respawner (custom list)"
rbtAllCrushedCarRandomRespawnerDesc,blocks,block,,,"Will respawn, from a custom list, a random crushed car stack after a set time."

rbtBusRandomRespawner,blocks,Block,,,"Bus respawner"
rbtBusRandomRespawnerDesc,blocks,block,,,"Will respawn a random bus after a set time."

rbtAmbulanceRespawner,blocks,Block,,,"Ambulance respawner"
rbtAmbulanceRespawnerDesc,blocks,block,,,"Will respawn an ambulance after a set time."

rbtGenericSvcTruckRandomRespawner,blocks,Block,,,"Generic service truck respawner"
rbtGenericSvcTruckRandomRespawnerDesc,blocks,block,,,"Will respawn a random generic service truck after a set time."

rbtBoxTruckRandomRespawner,blocks,Block,,,"Box truck respawner"
rbtBoxTruckRandomRespawnerDesc,blocks,block,,,"Will respawn a random box truck after a set time."

rbtArmyTruckRandomRespawner,blocks,Block,,,"Army truck respawner"
rbtArmyTruckRandomRespawnerDesc,blocks,block,,,"Will respawn a random army truck after a set time."

rbtFarmTruckRandomRespawner,blocks,Block,,,"Farm truck respawner"
rbtFarmTruckRandomRespawnerDesc,blocks,block,,,"Will respawn a random farm truck after a set time."

rbtTractorRandomRespawner,blocks,Block,,,"Tractor respawner"
rbtTractorRandomRespawnerDesc,blocks,block,,,"Will respawn a random tractor after a set time."

rbtExcavatorRandomRespawner,blocks,Block,,,"Excavator respawner"
rbtExcavatorRandomRespawnerDesc,blocks,block,,,"Will respawn a random excavator after a set time."

rbtBackhoeRandomRespawner,blocks,Block,,,"Backhoe respawner"
rbtBackhoeRandomRespawnerDesc,blocks,block,,,"Will respawn a random backhoe after a set time."

rbtForkliftRandomRespawner,blocks,Block,,,"Forklift respawner"
rbtForkliftRandomRespawnerDesc,blocks,block,,,"Will respawn a random forklift after a set time."

rbtAllATMsRandomHelper,blocks,Block,,,"ATM randomizer for respawn"
rbtAllATMsRandomHelperDesc,blocks,block,,,"Will randomly select an ATM for a respawn event."

rbtATMRandomRespawner,blocks,Block,,,"ATM respawner"
rbtATMRandomRespawnerDesc,blocks,block,,,"Will respawn an ATM after a set time."

rbtAllDrinksVendingMachineRandomRespawner,blocks,Block,,,"Drink vending machine respawner"
rbtAllDrinksVendingMachineRandomRespawnerDesc,blocks,block,,,"Will respawn a random drink vending after a set time."

rbtAllSnacksVendingMachineRandomRespawner,blocks,Block,,,"Snack vending machine respawner"
rbtAllSnacksVendingMachineRandomRespawnerDesc,blocks,block,,,"Will respawn a random snack vending after a set time."

rbtAllStreeLightsRandomHelper,blocks,Block,,,"Street light randomizer for respawn"
rbtAllStreeLightsRandomHelperDesc,blocks,block,,,"Will randomly select a street light for a respawn event."

rbtAllStreeLightRandomRespawner,blocks,Block,,,"Street light respawner"
rbtAllStreeLightRandomRespawnerDesc,blocks,block,,,"Will respawn a random a street light after a set time."

rbtUtilityTransformerRespawner,blocks,Block,,,"Utility transformer respawner"
rbtUtilityTransformerRespawnerDesc,blocks,block,,,"Will respawn a utility transformer after a set time."

rbtUtilityTransformerHangingRespawner,blocks,Block,,,"Hanging utility transformer respawner"
rbtUtilityTransformerHangingRespawnerDesc,blocks,block,,,"Will respawn a hanging utility transformer after a set time."

